key,value,description,source_ref,last_updated
gst_rate,0.05,Canadian GST rate applied to all taxable sales,estimatorRules.csv,2026-02-19
pst_rate,0.06,Saskatchewan PST rate applied to printed goods (tangible personal property),SK PST Act,2026-03-03
default_sqft_fallback_rate,6.50,Fallback rate per sqft when no category rule matches — triggers NEEDS_CLARIFICATION,estimatorRules.csv:row2,2026-02-19
default_minimum_fallback,25.00,Minimum charge used with fallback rate only,estimatorRules.csv:row2,2026-02-19
grommet_price_per_unit,2.50,Sell price per grommet unit (updated per owner 2026-02-24),NEW WAVE PRODUCTS.csv:row215 + estimatorRules.csv:row4,2026-02-24
grommet_spacing_ft,2,Space between grommets in feet for auto-calculation (perimeter / spacing),estimatorRules.csv:row4,2026-02-19
grommet_minimum_count,4,Minimum grommet count regardless of perimeter,estimatorRules.csv:row4,2026-02-19
hstake_price_per_unit,2.50,Sell price per H-Stake yard sign stake (was $2.00 — bumped per owner 2026-02-19),services.v1.csv:SVC-HSTAKE,2026-02-19
hstake_cost_per_unit,0.63,Cost per H-Stake unit (DS00043) for margin calculation only,materials.v1.csv:DS00043,2026-02-19
design_minor_edit_fee,35.00,Design fee for minor edits to customer-provided artwork,services.v1.csv:SVC-DESIGN-BASIC,2026-02-19
design_full_design_fee,50.00,Design fee for full custom design from scratch,services.v1.csv:SVC-DESIGN-FULL,2026-02-19
design_logo_recreation_fee,75.00,Design fee for logo recreation or vectorization,services.v1.csv:SVC-DESIGN-LOGO,2026-02-19
rush_fee_flat,40.00,Flat rush order surcharge added to all rush jobs,services.v1.csv:SVC-RUSH,2026-02-19
roland_ink_cost_per_sqft,0.16,Roland wide-format ink cost per sqft (color) for cost estimation,estimatorRules.csv:row12,2026-02-19
konica_ink_cost_per_sheet,0.0573,Konica AccurioPress C3070 COLOUR click charge per sheet — Year 3 rate (base $0.054 + 3% annual escalation x2). Contract: Order S00665431 signed 2023-11-23 via Meridian OneCap lease. 60-month maintenance term. Update each Nov: multiply by 1.03. Year 4 (Nov 2026): $0.0590. Year 5 (Nov 2027): $0.0608.,Konica Minolta Order S00665431 — Maintenance Agreement p2,2026-03-31
konica_bw_cost_per_sheet,0.0117,Konica AccurioPress C3070 B/W click charge per sheet — Year 3 rate (base $0.011 + 3% annual escalation x2). Rarely used — most True Color products are full colour. Year 4 (Nov 2026): $0.0120. Year 5 (Nov 2027): $0.0124.,Konica Minolta Order S00665431 — Maintenance Agreement p2,2026-03-31
konica_contract_start,2023-11-23,Konica Minolta lease start date — 60-month term ends Nov 2028. Leased via Meridian OneCap Credit Corp / Pathways Financial (Jeff McElhone 416-918-0379). KMBS Rep: Brian Klein 639-318-9509. Annual CPC escalation 3% fixed.,Konica Minolta Order S00665431,2026-03-31
bc_imposition_factor,21,Business cards per 18x12 parent sheet — used to convert qty-of-cards to sheets for ink cost,owner confirmed 2026-02-20,2026-02-20
labor_minutes_per_job,6,Standard labor minutes per job line for cost estimation,estimatorRules.csv:row17,2026-02-19
labor_rate_per_hour,35.00,Staff labor rate per hour for cost estimation,estimatorRules.csv:row18,2026-02-19
overhead_flat_per_job,5.00,Flat overhead cost allocated per job for cost estimation,estimatorRules.csv:row19,2026-02-19
margin_green_threshold,50,Gross margin % above which badge shows green — adjust as market data informs,configurable — research Saskatoon print market,2026-02-19
margin_yellow_threshold,30,Gross margin % above which badge shows yellow (below = red) — adjust as needed,configurable — research Saskatoon print market,2026-02-19
